,skclientkey,medid,device_naturalkey,Last_Removal_month,First_Removal_month,Month_w_Removal_count,Avg_Inventory_Qty_training_peroid,Min_Removal_Qty,Max_Removal_Qty,Avg_Removal_Qty,Frequency_of_Removals
246,13535,4332244,-2147440891,14,7,2,1,1.0,1.0,1,7.0
247,13535,4335587,-2147440891,4,4,2,9,3.0,3.0,3,0.0
248,13535,4363355,-2147440892,12,12,2,12,4.0,4.0,4,0.0
249,13535,4363355,-2147440891,12,12,2,6,2.0,2.0,2,0.0
250,13535,44756,-2147440891,14,10,3,8,1.0,4.0,2,2.0
251,13535,45264,-2147440893,12,6,2,32,27.0,35.0,31,6.0
252,13535,45360,-2147440893,10,10,2,13,1.0,1.0,1,0.0
253,13535,4556335,-2147440893,7,7,2,24,12.0,12.0,12,0.0
254,13535,46499,-2147440891,14,12,2,8,3.0,3.0,3,2.0
255,13535,48163,-2147440891,14,9,2,3,1.0,2.0,1,5.0
256,13535,48599,-2147440893,6,6,2,21,10.0,10.0,10,0.0
257,13535,48599,-2147440892,14,7,3,8,3.0,8.0,6,3.5
258,13535,48984,-2147440892,10,10,2,23,3.0,3.0,3,0.0
259,13535,48991943,-2147440893,11,3,8,8,2.0,9.0,4,1.1428571428571428
260,13535,48991943,-2147440892,14,4,6,6,5.0,6.0,5,2.0
261,13535,49725,-2147440893,14,3,22,13,1.0,10.0,6,0.5238095238095238
262,13535,49725,-2147440892,13,13,2,9,2.0,2.0,2,0.0
263,13535,49725,-2147440891,14,4,13,5,1.0,6.0,5,0.8333333333333334
264,13535,49725,-2147437246,14,8,9,6,6.0,6.0,6,0.75
265,13535,50292,-2147440893,10,3,4,19,1.0,18.0,9,2.3333333333333335
266,13535,5165407,-2147440893,12,11,3,58,25.0,50.0,41,0.5
267,13535,52750,-2147440893,14,14,2,27,20.0,20.0,20,0.0
268,13535,52760,-2147440893,10,10,2,14,14.0,14.0,14,0.0
269,13535,53599384,-2147440893,11,11,2,16,6.0,6.0,6,0.0
270,13535,53787985,-2147440892,12,12,2,4,4.0,4.0,4,0.0
271,13535,54140,-2147440893,14,14,2,14,14.0,14.0,14,0.0
272,13535,54140,-2147440892,14,8,3,18,8.0,18.0,14,3.0
273,13535,54587,-2147440893,14,9,2,11,8.0,11.0,9,5.0
274,13535,54717,-2147440893,14,14,2,41,37.0,37.0,37,0.0
275,13535,54717,-2147440892,14,5,3,54,3.0,5.0,3,4.5
276,13535,58640,-2147440893,10,10,2,15,15.0,15.0,15,0.0
277,13535,61295520,-2147440893,9,9,2,18,7.0,7.0,7,0.0
278,13535,6185120,-2147440893,9,4,2,2,2.0,3.0,2,5.0
279,13535,62538723,-2147440893,12,12,2,14,9.0,9.0,9,0.0
280,13535,63544896,-2147440893,4,4,2,13,13.0,13.0,13,0.0
281,13535,64770444,-2147440893,9,6,2,21,10.0,12.0,11,3.0
282,13535,64770444,-2147440892,9,7,2,20,10.0,20.0,15,2.0
283,13535,64771944,-2147440891,13,13,2,13,4.0,4.0,4,0.0
284,13535,68103880,-2147440892,9,4,8,3,1.0,4.0,3,0.7142857142857143
285,13535,75444924,-2147440893,12,6,2,8,4.0,10.0,7,6.0
286,13535,75444924,-2147440892,12,6,4,13,3.0,14.0,8,2.0
287,13535,7626163,-2147440893,14,3,14,81,19.0,75.0,44,0.8461538461538461
288,13535,7626163,-2147440892,10,3,16,94,44.0,114.0,88,0.4666666666666667
289,13535,7626163,-2147440891,14,4,15,50,50.0,50.0,50,0.7142857142857143
290,13535,7626163,-2147437246,12,10,4,25,25.0,50.0,37,0.6666666666666666
291,13535,7631231,-2147440892,12,12,2,11,6.0,6.0,6,0.0
292,13535,76720,-2147440891,14,7,2,15,7.0,20.0,13,7.0
293,13535,76999621,-2147440892,7,7,2,16,1.0,1.0,1,0.0
294,13535,7905730,-2147440893,13,3,3,14,2.0,10.0,4,5.0
295,13535,7908298,-2147440891,7,7,2,12,6.0,6.0,6,0.0
296,13535,7908652,-2147440891,7,7,2,7,6.0,6.0,6,0.0
297,13535,79282467,-2147440893,9,9,2,8,8.0,8.0,8,0.0
298,13535,7940574,-2147440890,11,7,4,5,1.0,1.0,1,1.3333333333333333
299,13535,7948298,-2147440892,14,7,2,2,2.0,2.0,2,7.0
300,13535,7948572,-2147440893,6,6,2,11,16.0,16.0,16,0.0
301,13535,7948572,-2147440892,14,7,4,16,17.0,17.0,17,2.3333333333333335
302,13535,7987540,-2147440893,14,4,4,36,1.0,1.0,1,3.3333333333333335
303,13535,7987540,-2147440892,14,4,3,14,6.0,12.0,10,5.0
304,13535,8033085,-2147440893,14,11,5,22,4.0,6.0,4,0.75
305,13535,8107563,-2147440893,9,5,2,5,3.0,5.0,4,4.0
306,13535,8254465,-2147440893,9,5,4,12,2.0,5.0,3,1.3333333333333333
307,13535,8254465,-2147440892,10,6,6,11,3.0,13.0,8,0.8
308,13535,8254465,-2147440891,13,6,3,8,4.0,6.0,5,3.5
309,13535,8254465,-2147437246,14,14,2,6,4.0,4.0,4,0.0
310,13535,82873096,-2147440893,10,10,2,75,32.0,32.0,32,0.0
311,13535,84540,-2147440893,3,3,2,11,2.0,2.0,2,0.0
312,13535,84824694,-2147440893,12,12,2,20,5.0,5.0,5,0.0
313,13535,8495801,-2147440892,10,10,2,13,2.0,2.0,2,0.0
314,13535,8495801,-2147440890,3,3,2,11,5.0,5.0,5,0.0
315,13535,89048835,-2147437246,14,7,13,1,2.0,2.0,2,0.5833333333333334
316,13535,90341,-2147440893,5,3,4,25,15.0,35.0,25,0.6666666666666666
317,13535,90341,-2147440892,13,3,6,18,1.0,26.0,13,2.0
318,13535,90341,-2147440891,5,3,3,10,9.0,10.0,9,1.0
